features,count,unique,top,freq
age_0.0,9603,2,0,8589
age_1.0,9603,2,1,7446
age_2.0,9603,2,0,8460
trainer_onehot,9603,2,0,9455
workout_type_0.0,9603,2,0,9509
workout_type_4.0,9603,2,0,9568
workout_type_10.0,9603,2,0,6111
workout_type_11.0,9603,2,0,9525
workout_type_12.0,9603,2,0,9491
weekday_Friday,9603,2,0,8167
weekday_Monday,9603,2,0,8156
weekday_Saturday,9603,2,0,8447
weekday_Sunday,9603,2,0,8690
weekday_Thursday,9603,2,0,8062
weekday_Tuesday,9603,2,0,8092
weekday_Wednesday,9603,2,0,8004
daypart_afternoon,9603,2,0,5360
daypart_dawn,9603,2,0,8266
daypart_evening,9603,2,0,8736
daypart_forenoon,9603,2,0,8206
daypart_morning,9603,2,0,8420
daypart_night,9603,2,0,9027
