FeatureName,count,mean,std,min,quarted,half,threeQuarter,max
ageGroup,3728.0,0.9656652360515021,0.8309813217681862,0.0,0.0,1.0,2.0,2.0
average_speed,3728.0,6.402455472103015,35.68833283468258,0.0,4.7645,5.885,6.928999999999999,2182.0
average_watts,2103.0,143.9680456490725,69.53969723999404,-1.0,124.05,156.3,178.2,482.6
distance,3728.0,36246.764404506386,31023.29686275071,0.0,10378.3,30174.1,53773.149999999994,250534.0
elapsed_time,3728.0,7301.362929184549,30178.09104836329,0.0,2500.0,5558.5,9215.5,1806211.0
elev_high,3607.0,358.18666481840665,408.8037568181368,-8.6,143.6,250.6,494.8,12103.0
elev_low,3607.0,129.1716939284727,96.08679780350998,-500.0,99.15,117.6,134.8,1484.0
kilojoules,2103.0,1092.8313837375165,836.0391518292503,-1.0,424.0,1067.2,1616.6,5928.8
max_speed,3728.0,13.179291845493557,4.908757535751861,0.0,10.1,13.6,16.1,122.7
max_watts,2103.0,163.0722776985259,303.77843142893164,-1.0,-1.0,-1.0,273.0,2428.0
moving_time,3728.0,5967.949570815451,4926.068101958739,0.0,2195.75,4975.5,8395.5,41621.0
pr_count,2103.0,1.4046600095102235,3.139072260776451,0.0,0.0,0.0,2.0,50.0
resource_state,2103.0,2.0,0.0,2.0,2.0,2.0,2.0,2.0
total_elevation_gain,3728.0,455.49061158798224,505.22273239591556,0.0,42.2,298.0,760.25,4416.8
weighted_average_watts,2103.0,48.293390394674276,84.68293688399719,-1.0,-1.0,-1.0,133.5,246.0
workout_type,3611.0,5.058155635558017,5.501794905219131,-1.0,-1.0,10.0,10.0,12.0
